Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,10/14/2020 16:08:37
Disarm Time,10/14/2020 16:41:19
Duration,00:32:42
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
10/14/2020 16:08:40,Interval,12.75,28.08,52.4,0.31,13.72,264.0,275.0
10/14/2020 16:08:41,Interval,12.31,28.07,52.1,0.31,13.72,264.0,279.0
10/14/2020 16:08:42,Interval,12.08,27.89,51.9,0.29,13.72,264.0,281.0
10/14/2020 16:08:43,Interval,12.52,28.09,52.2,0.32,13.73,264.0,280.0
10/14/2020 16:08:44,Interval,12.62,27.89,51.8,0.30,13.72,264.0,278.0
10/14/2020 16:08:45,Interval,12.09,28.12,52.5,0.32,13.72,264.0,281.0
10/14/2020 16:08:46,Interval,12.21,28.01,52.0,0.32,13.72,264.0,276.0
10/14/2020 16:08:47,Interval,12.42,27.82,52.0,0.30,13.72,264.0,276.0
10/14/2020 16:08:48,Interval,12.20,27.69,51.6,0.27,13.72,264.0,278.0
10/14/2020 16:08:49,Interval,12.18,27.50,51.7,0.27,13.72,264.0,275.0
10/14/2020 16:08:50,Interval,12.25,27.99,52.2,0.31,13.72,264.0,272.0
10/14/2020 16:08:51,Interval,12.41,27.88,52.0,0.31,13.72,264.0,277.0
10/14/2020 16:08:52,Interval,12.25,27.93,52.3,0.31,13.72,264.0,274.0
10/14/2020 16:08:53,Interval,12.40,28.50,53.6,0.32,13.72,264.0,274.0
10/14/2020 16:08:54,Interval,12.95,29.09,54.1,0.35,13.72,264.0,271.0
10/14/2020 16:08:55,Interval,12.87,29.41,54.6,0.39,13.72,264.0,272.0
10/14/2020 16:08:56,Interval,13.87,29.63,54.9,0.41,13.72,264.0,272.0
10/14/2020 16:08:57,Interval,13.40,29.84,55.1,0.41,13.72,264.0,273.0
10/14/2020 16:08:58,Interval,12.92,29.65,54.7,0.39,13.72,264.0,273.0
10/14/2020 16:08:59,Interval,12.97,29.53,54.6,0.38,13.72,264.0,272.0
10/14/2020 16:09:00,Interval,13.51,29.48,54.5,0.36,13.72,264.0,275.0
10/14/2020 16:09:01,Interval,13.17,29.49,54.5,0.38,13.72,264.0,273.0
10/14/2020 16:09:02,Interval,12.77,29.40,54.4,0.36,13.72,264.0,274.0
10/14/2020 16:09:03,Interval,12.89,29.53,55.4,0.36,13.72,264.0,277.0
10/14/2020 16:09:04,Interval,12.99,30.14,55.9,0.36,13.72,264.0,277.0
10/14/2020 16:09:05,Interval,12.65,30.12,55.7,0.37,13.72,264.0,275.0
10/14/2020 16:09:06,Interval,12.53,29.96,55.6,0.35,13.72,264.0,274.0
10/14/2020 16:09:07,Interval,12.66,29.79,55.6,0.35,13.72,264.0,274.0
10/14/2020 16:09:08,Interval,12.21,30.01,55.6,0.33,13.72,264.0,279.0
10/14/2020 16:09:09,Interval,12.23,29.98,55.8,0.34,13.72,264.0,276.0
10/14/2020 16:09:10,Interval,11.92,29.75,55.3,0.31,13.72,264.0,279.0
10/14/2020 16:09:11,Interval,11.89,29.57,55.2,0.32,13.72,264.0,279.0
10/14/2020 16:09:12,Interval,11.63,29.56,55.1,0.33,13.72,264.0,277.0
10/14/2020 16:09:13,Interval,11.74,29.71,56.3,0.31,13.72,264.0,283.0
10/14/2020 16:09:14,Interval,11.81,30.70,57.0,0.33,13.72,264.0,275.0
10/14/2020 16:09:15,Interval,12.76,31.00,57.6,0.38,13.72,264.0,275.0
10/14/2020 16:09:16,Interval,12.79,31.19,57.4,0.36,13.72,264.0,275.0
10/14/2020 16:09:17,Interval,12.30,31.25,57.6,0.36,13.72,264.0,275.0
10/14/2020 16:09:18,Interval,12.71,31.29,57.5,0.36,13.72,264.0,277.0
10/14/2020 16:09:19,Interval,12.85,31.40,58.1,0.39,13.72,264.0,275.0
10/14/2020 16:09:20,Interval,13.12,31.31,57.8,0.35,13.72,264.0,275.0
10/14/2020 16:09:21,Interval,12.76,31.40,58.1,0.38,13.72,264.0,279.0
10/14/2020 16:09:22,Interval,13.17,31.36,57.7,0.36,13.72,264.0,275.0
10/14/2020 16:09:23,Interval,13.25,31.75,59.1,0.36,13.72,264.0,273.0
10/14/2020 16:09:24,Interval,12.93,32.28,60.0,0.42,13.72,264.0,278.0
10/14/2020 16:09:25,Interval,13.00,32.75,60.0,0.43,13.72,264.0,280.0
10/14/2020 16:09:26,Interval,12.76,32.83,60.5,0.43,13.72,264.0,268.0
10/14/2020 16:09:27,Interval,13.36,32.76,59.7,0.39,13.72,264.0,272.0
10/14/2020 16:09:28,Interval,12.88,32.30,59.7,0.40,13.72,264.0,277.0
10/14/2020 16:09:29,Interval,13.43,32.38,59.9,0.40,13.72,264.0,277.0
10/14/2020 16:09:30,Interval,13.53,32.80,60.3,0.44,13.72,264.0,278.0
10/14/2020 16:09:31,Interval,13.86,32.66,60.1,0.41,13.72,264.0,274.0
10/14/2020 16:09:32,Interval,13.10,32.33,59.3,0.39,13.72,264.0,272.0
10/14/2020 16:09:33,Interval,13.02,32.31,60.4,0.36,13.72,264.0,276.0
10/14/2020 16:09:34,Interval,12.93,33.33,61.4,0.39,13.72,264.0,274.0
10/14/2020 16:09:35,Interval,12.69,33.64,61.8,0.42,13.72,264.0,274.0
10/14/2020 16:09:36,Interval,13.09,33.56,61.5,0.41,13.72,264.0,273.0
