Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,20/10/2020 13:03:27
Disarm Time,20/10/2020 13:05:04
Duration,00:01:37
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
20/10/2020 13:03:29,Interval,12.64,29.53,55.5,0.30,13.96,288.0,274.0
20/10/2020 13:03:30,Interval,12.35,29.18,54.9,0.26,13.96,288.0,272.0
20/10/2020 13:03:31,Interval,12.13,29.14,55.0,0.26,13.96,288.0,269.0
20/10/2020 13:03:32,Interval,11.60,28.86,54.6,0.25,13.96,288.0,276.0
20/10/2020 13:03:33,Interval,11.73,29.28,55.3,0.30,13.96,288.0,277.0
20/10/2020 13:03:34,Interval,12.57,29.40,55.6,0.31,13.96,288.0,277.0
20/10/2020 13:03:35,Interval,12.45,29.48,55.6,0.31,13.96,288.0,274.0
20/10/2020 13:03:36,Interval,11.67,29.50,55.6,0.30,13.96,288.0,271.0
20/10/2020 13:03:37,Interval,12.17,29.33,55.4,0.27,13.96,288.0,273.0
20/10/2020 13:03:38,Interval,12.55,29.02,54.6,0.26,13.96,288.0,276.0
20/10/2020 13:03:39,Interval,11.53,28.92,54.5,0.27,13.96,288.0,273.0
20/10/2020 13:03:40,Interval,10.69,28.43,54.0,0.22,13.96,288.0,275.0
20/10/2020 13:03:41,Interval,10.96,28.55,54.2,0.25,13.96,288.0,271.0
20/10/2020 13:03:42,Interval,11.08,28.36,54.0,0.24,13.96,288.0,268.0
20/10/2020 13:03:43,Interval,10.95,28.56,54.1,0.22,13.96,288.0,264.0
20/10/2020 13:03:44,Interval,10.49,28.09,53.0,0.24,13.95,288.0,263.0
20/10/2020 13:03:45,Interval,10.20,27.48,52.3,0.19,13.96,288.0,266.0
20/10/2020 13:03:46,Interval,9.61,27.24,52.3,0.20,13.96,288.0,271.0
20/10/2020 13:03:47,Interval,9.55,27.63,52.8,0.21,13.96,288.0,261.0
20/10/2020 13:03:48,Interval,9.62,27.41,52.3,0.18,13.96,288.0,277.0
20/10/2020 13:03:49,Interval,9.39,27.59,52.6,0.22,13.96,288.0,271.0
20/10/2020 13:03:50,Interval,10.07,27.77,52.6,0.20,13.96,288.0,274.0
20/10/2020 13:03:51,Interval,10.93,27.74,53.0,0.22,13.96,288.0,277.0
20/10/2020 13:03:52,Interval,11.20,28.09,53.4,0.23,13.96,288.0,273.0
20/10/2020 13:03:53,Interval,12.12,28.07,53.2,0.25,13.96,288.0,271.0
20/10/2020 13:03:54,Interval,13.11,28.69,54.9,0.25,13.96,288.0,271.0
20/10/2020 13:03:55,Interval,12.99,29.10,54.9,0.24,13.96,288.0,272.0
20/10/2020 13:03:56,Interval,11.05,29.03,55.0,0.26,13.96,288.0,272.0
20/10/2020 13:03:57,Interval,11.77,29.25,55.6,0.28,13.96,288.0,270.0
20/10/2020 13:03:58,Interval,12.02,29.59,55.7,0.27,13.96,288.0,270.0
20/10/2020 13:03:59,Interval,11.72,28.90,54.7,0.23,13.96,288.0,263.0
20/10/2020 13:04:00,Interval,10.75,28.57,54.2,0.20,13.96,288.0,259.0
20/10/2020 13:04:01,Interval,10.73,28.63,54.6,0.22,13.96,288.0,262.0
20/10/2020 13:04:02,Interval,10.28,29.00,55.3,0.26,13.96,288.0,263.0
20/10/2020 13:04:03,Interval,11.12,29.37,55.8,0.27,13.96,288.0,271.0
20/10/2020 13:04:04,Interval,12.12,30.26,57.5,0.31,13.96,288.0,273.0
20/10/2020 13:04:05,Interval,12.45,30.73,57.9,0.31,13.96,288.0,264.0
20/10/2020 13:04:06,Interval,12.83,30.43,57.4,0.28,13.96,288.0,259.0
20/10/2020 13:04:07,Interval,12.12,30.23,57.1,0.29,13.96,288.0,265.0
20/10/2020 13:04:08,Interval,10.87,30.03,56.8,0.29,13.96,288.0,264.0
20/10/2020 13:04:09,Interval,11.43,29.76,56.7,0.25,13.96,288.0,263.0
20/10/2020 13:04:10,Interval,12.03,29.89,56.6,0.24,13.96,288.0,263.0
20/10/2020 13:04:11,Interval,11.91,29.98,56.9,0.25,13.96,288.0,265.0
20/10/2020 13:04:12,Interval,11.72,30.05,57.0,0.26,13.96,288.0,265.0
20/10/2020 13:04:13,Interval,11.77,30.14,57.1,0.28,13.96,288.0,264.0
20/10/2020 13:04:14,Interval,11.95,30.86,58.7,0.25,13.96,288.0,268.0
20/10/2020 13:04:15,Interval,12.07,31.37,59.2,0.28,13.96,288.0,268.0
20/10/2020 13:04:16,Interval,11.71,31.28,59.0,0.29,13.96,288.0,263.0
20/10/2020 13:04:17,Interval,11.81,31.17,58.9,0.24,13.96,288.0,263.0
20/10/2020 13:04:18,Interval,11.46,31.18,59.0,0.28,13.96,288.0,264.0
20/10/2020 13:04:19,Interval,11.40,31.31,59.0,0.26,13.96,288.0,264.0
20/10/2020 13:04:20,Interval,11.04,30.87,58.3,0.23,13.96,288.0,265.0
20/10/2020 13:04:21,Interval,11.43,31.01,58.5,0.24,13.96,288.0,264.0
20/10/2020 13:04:22,Interval,11.21,30.85,58.4,0.25,13.96,288.0,264.0
20/10/2020 13:04:23,Interval,10.95,31.29,58.9,0.26,13.96,288.0,265.0
20/10/2020 13:04:24,Interval,11.91,31.97,60.7,0.26,13.96,288.0,263.0
20/10/2020 13:04:25,Interval,12.07,32.19,60.5,0.27,13.96,288.0,262.0
