Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,23/01/2020 15:23:59
Disarm Time,23/01/2020 15:29:57
Duration,00:05:58
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
23/01/2020 15:24:02,Interval,8.32,71.19,135.1,0.28,12.87,241.0,253.0
23/01/2020 15:24:03,Interval,7.77,70.82,134.6,0.13,12.87,240.0,243.0
23/01/2020 15:24:04,Interval,7.68,70.60,135.1,0.23,12.87,239.0,255.0
23/01/2020 15:24:05,Interval,8.06,71.12,135.4,0.37,12.87,241.0,233.0
23/01/2020 15:24:06,Interval,7.50,70.85,134.9,0.14,12.87,241.0,236.0
23/01/2020 15:24:07,Interval,7.81,70.67,135.9,0.15,12.87,242.0,227.0
23/01/2020 15:24:08,Interval,8.78,70.95,133.8,0.13,12.87,239.0,235.0
23/01/2020 15:24:09,Interval,8.99,71.54,134.9,0.28,12.87,238.0,221.0
23/01/2020 15:24:10,Interval,9.83,71.03,134.5,0.31,12.87,240.0,222.0
23/01/2020 15:24:11,Interval,9.13,70.92,135.4,0.27,12.87,239.0,228.0
23/01/2020 15:24:12,Interval,8.67,71.02,135.5,0.24,12.87,241.0,238.0
23/01/2020 15:24:13,Interval,9.65,71.66,135.3,0.40,12.87,240.0,228.0
23/01/2020 15:24:14,Interval,9.76,71.63,134.3,0.32,12.87,239.0,224.0
23/01/2020 15:24:15,Interval,10.46,70.72,135.3,0.31,12.87,238.0,226.0
23/01/2020 15:24:16,Interval,9.43,70.83,134.8,0.19,12.83,238.0,222.0
23/01/2020 15:24:17,Interval,8.85,71.02,134.5,0.14,12.87,239.0,232.0
23/01/2020 15:24:18,Interval,8.23,70.73,134.6,0.08,12.87,238.0,223.0
23/01/2020 15:24:19,Interval,7.61,70.78,136.4,0.20,12.87,239.0,223.0
23/01/2020 15:24:20,Interval,7.57,70.85,134.8,0.28,12.87,239.0,231.0
23/01/2020 15:24:21,Interval,8.06,71.08,135.2,0.13,12.87,239.0,232.0
23/01/2020 15:24:22,Interval,7.90,71.10,135.3,0.24,12.87,239.0,233.0
23/01/2020 15:24:23,Interval,7.98,70.95,136.2,0.36,12.88,238.0,234.0
23/01/2020 15:24:24,Interval,8.72,70.61,134.4,0.24,12.88,240.0,240.0
23/01/2020 15:24:25,Interval,8.71,70.75,135.9,0.29,12.88,239.0,237.0
23/01/2020 15:24:26,Interval,8.93,70.72,135.0,0.13,12.88,238.0,243.0
23/01/2020 15:24:27,Interval,8.69,70.46,136.0,0.33,12.88,240.0,243.0
23/01/2020 15:24:28,Interval,8.76,70.69,136.3,0.13,12.88,239.0,239.0
23/01/2020 15:24:29,Interval,8.42,70.52,134.3,0.20,12.88,242.0,239.0
23/01/2020 15:24:30,Interval,7.97,70.47,135.0,0.11,12.88,238.0,242.0
23/01/2020 15:24:31,Interval,8.11,70.71,134.9,0.28,12.88,238.0,242.0
23/01/2020 15:24:32,Interval,7.74,70.81,135.4,0.20,12.88,238.0,243.0
23/01/2020 15:24:33,Interval,7.94,70.56,135.0,0.13,12.88,238.0,237.0
23/01/2020 15:24:34,Interval,8.04,71.04,135.3,0.28,12.88,242.0,239.0
23/01/2020 15:24:35,Interval,8.40,71.25,135.0,0.26,12.88,240.0,248.0
23/01/2020 15:24:36,Interval,8.30,70.71,137.4,0.40,12.88,238.0,248.0
23/01/2020 15:24:37,Interval,8.12,70.65,136.1,0.08,12.88,239.0,240.0
23/01/2020 15:24:38,Interval,8.00,69.95,135.4,0.13,12.88,238.0,240.0
23/01/2020 15:24:39,Interval,7.65,70.40,135.6,0.24,12.88,242.0,243.0
23/01/2020 15:24:40,Interval,7.78,70.24,136.6,0.09,12.88,242.0,235.0
23/01/2020 15:24:41,Interval,7.86,70.46,135.9,0.13,12.88,239.0,240.0
23/01/2020 15:24:42,Interval,7.61,70.49,136.8,0.19,12.88,242.0,241.0
23/01/2020 15:24:43,Interval,7.52,70.23,137.0,0.08,12.88,239.0,241.0
23/01/2020 15:24:44,Interval,7.18,70.24,135.9,0.28,12.88,242.0,239.0
23/01/2020 15:24:45,Interval,6.92,70.10,136.6,0.09,12.88,242.0,240.0
23/01/2020 15:24:46,Interval,6.66,69.84,136.3,0.07,12.88,242.0,239.0
23/01/2020 15:24:47,Interval,6.21,68.83,134.3,0.07,12.88,242.0,239.0
23/01/2020 15:24:48,Interval,5.72,68.10,133.2,0.08,12.88,242.0,239.0
23/01/2020 15:24:49,Interval,5.82,67.55,132.3,0.07,12.89,242.0,239.0
23/01/2020 15:24:50,Interval,5.91,67.55,132.5,0.07,12.89,242.0,237.0
23/01/2020 15:24:51,Interval,5.87,68.55,134.6,0.08,12.89,242.0,243.0
23/01/2020 15:24:52,Interval,6.39,69.60,136.4,0.20,12.89,242.0,230.0
23/01/2020 15:24:53,Interval,7.99,69.60,136.5,0.11,12.89,242.0,229.0
23/01/2020 15:24:54,Interval,8.89,70.55,135.3,0.27,12.89,239.0,230.0
23/01/2020 15:24:55,Interval,8.47,70.52,136.4,0.27,12.89,241.0,219.0
23/01/2020 15:24:56,Interval,7.73,70.89,134.4,0.19,12.88,241.0,230.0
23/01/2020 15:24:57,Interval,7.43,70.37,137.6,0.20,12.89,242.0,230.0
23/01/2020 15:24:58,Interval,7.26,70.16,136.7,0.07,12.89,238.0,238.0
