Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,30/01/2020 14:11:16
Disarm Time,30/01/2020 14:18:26
Duration,00:07:10
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
30/01/2020 14:11:18,Interval,6.26,-0.74,-0.7,0.04,12.35,262.0,90.0
30/01/2020 14:11:19,Interval,6.02,-0.74,-0.5,0.03,12.36,262.0,90.0
30/01/2020 14:11:20,Interval,5.73,-0.75,-0.6,0.05,12.36,262.0,90.0
30/01/2020 14:11:21,Interval,5.64,-0.74,-0.6,0.03,12.36,262.0,90.0
30/01/2020 14:11:22,Interval,5.66,-0.73,-0.5,0.03,12.36,262.0,90.0
30/01/2020 14:11:23,Interval,6.14,-0.74,-0.4,0.03,12.36,262.0,86.0
30/01/2020 14:11:24,Interval,6.02,-0.73,-0.7,0.04,12.36,262.0,86.0
30/01/2020 14:11:25,Interval,5.59,-0.74,-0.6,0.03,12.36,262.0,86.0
30/01/2020 14:11:26,Interval,5.72,-0.74,-0.6,0.03,12.37,262.0,85.0
30/01/2020 14:11:27,Interval,6.28,-0.73,-0.7,0.04,12.37,262.0,85.0
30/01/2020 14:11:28,Interval,6.40,-0.73,-0.4,0.03,12.37,262.0,85.0
30/01/2020 14:11:29,Interval,6.44,-0.74,-0.7,0.03,12.37,262.0,85.0
30/01/2020 14:11:30,Interval,6.66,-0.74,-0.7,0.03,12.37,262.0,85.0
30/01/2020 14:11:31,Interval,6.14,-0.73,-0.5,0.03,12.37,262.0,85.0
30/01/2020 14:11:32,Interval,5.61,-0.73,-0.6,0.03,12.37,262.0,85.0
30/01/2020 14:11:33,Interval,5.32,-0.73,-0.5,0.04,12.37,262.0,85.0
30/01/2020 14:11:34,Interval,5.47,-0.74,-0.5,0.03,12.37,262.0,85.0
30/01/2020 14:11:35,Interval,5.45,-0.73,-0.7,0.04,12.38,262.0,85.0
30/01/2020 14:11:36,Interval,5.59,-0.73,-0.7,0.04,12.38,262.0,85.0
30/01/2020 14:11:37,Interval,5.58,-0.73,-0.5,0.04,12.38,262.0,85.0
30/01/2020 14:11:38,Interval,5.21,-0.73,-0.6,0.03,12.38,262.0,85.0
30/01/2020 14:11:39,Interval,5.01,-0.74,-0.6,0.03,12.38,262.0,85.0
30/01/2020 14:11:40,Interval,4.75,-0.74,-0.5,0.05,12.38,262.0,85.0
30/01/2020 14:11:41,Interval,4.62,-0.73,-0.7,0.04,12.38,262.0,85.0
30/01/2020 14:11:42,Interval,4.31,-0.73,-0.4,0.03,12.38,262.0,85.0
30/01/2020 14:11:43,Interval,4.21,-0.73,-0.4,0.04,12.38,262.0,85.0
30/01/2020 14:11:44,Interval,4.41,-0.73,-0.5,0.03,12.39,262.0,85.0
30/01/2020 14:11:45,Interval,4.61,-0.73,-0.6,0.04,12.39,262.0,85.0
30/01/2020 14:11:46,Interval,5.92,-0.73,-0.6,0.05,12.39,262.0,85.0
30/01/2020 14:11:47,Interval,6.32,-0.74,-0.5,0.03,12.39,262.0,86.0
30/01/2020 14:11:48,Interval,6.51,-0.74,-0.5,0.02,12.39,262.0,98.0
30/01/2020 14:11:49,Interval,6.18,-0.74,-0.4,0.03,12.42,262.0,98.0
30/01/2020 14:11:50,Interval,5.50,-0.78,-0.6,0.03,12.43,262.0,96.0
30/01/2020 14:11:51,Interval,5.65,-0.78,-0.4,0.05,12.44,262.0,95.0
30/01/2020 14:11:52,Interval,6.02,-0.78,-0.3,0.04,12.44,262.0,94.0
30/01/2020 14:11:53,Interval,6.01,-0.79,-0.4,0.03,12.44,262.0,94.0
30/01/2020 14:11:54,Interval,6.25,-0.78,-0.5,0.04,12.44,262.0,97.0
30/01/2020 14:11:55,Interval,6.91,-0.78,-0.4,0.03,12.45,262.0,102.0
30/01/2020 14:11:56,Interval,6.69,-0.78,-0.4,0.03,12.45,262.0,102.0
30/01/2020 14:11:57,Interval,6.56,-0.79,-0.5,0.04,12.45,262.0,100.0
30/01/2020 14:11:58,Interval,6.84,-0.78,-0.4,0.04,12.45,262.0,101.0
30/01/2020 14:11:59,Interval,6.83,-0.79,-0.6,0.04,12.45,262.0,103.0
30/01/2020 14:12:00,Interval,6.80,-0.79,-0.5,0.04,12.45,262.0,103.0
30/01/2020 14:12:01,Interval,6.63,-0.79,-0.4,0.03,12.46,262.0,97.0
30/01/2020 14:12:02,Interval,6.69,-0.78,-0.3,0.05,12.46,262.0,97.0
30/01/2020 14:12:03,Interval,6.37,-0.78,-0.6,0.02,12.46,262.0,107.0
30/01/2020 14:12:04,Interval,5.92,-0.78,-0.6,0.04,12.46,262.0,134.0
30/01/2020 14:12:05,Interval,5.88,-0.79,-0.3,0.04,12.46,262.0,106.0
30/01/2020 14:12:06,Interval,5.97,-0.79,-0.3,0.05,12.46,262.0,109.0
30/01/2020 14:12:07,Interval,6.09,-0.79,-0.6,0.03,12.46,262.0,109.0
30/01/2020 14:12:08,Interval,6.34,-0.79,-0.3,0.02,12.47,262.0,95.0
30/01/2020 14:12:09,Interval,6.40,-0.79,-0.3,0.03,12.47,262.0,86.0
30/01/2020 14:12:10,Interval,6.74,-0.78,-0.3,0.04,12.47,262.0,87.0
30/01/2020 14:12:11,Interval,6.13,-0.79,-0.5,0.03,12.47,262.0,85.0
30/01/2020 14:12:12,Interval,5.96,-0.79,-0.4,0.04,12.47,262.0,85.0
