Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,30/01/2020 15:05:04
Disarm Time,30/01/2020 15:13:15
Duration,00:08:11
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
30/01/2020 15:05:06,Interval,14.64,135.25,203.5,1.43,12.24,361.0,39.0
30/01/2020 15:05:07,Interval,16.09,135.45,204.6,1.43,12.24,361.0,39.0
30/01/2020 15:05:08,Interval,16.52,134.46,204.6,1.44,12.24,361.0,38.0
30/01/2020 15:05:09,Interval,16.68,134.21,204.9,1.02,12.24,361.0,35.0
30/01/2020 15:05:10,Interval,15.38,134.21,204.7,1.29,12.25,361.0,37.0
30/01/2020 15:05:11,Interval,14.87,134.42,205.2,1.30,12.25,361.0,34.0
30/01/2020 15:05:12,Interval,14.98,134.30,205.0,1.71,12.24,361.0,35.0
30/01/2020 15:05:13,Interval,14.31,134.98,203.9,1.15,12.23,361.0,34.0
30/01/2020 15:05:14,Interval,14.97,133.90,205.6,1.49,12.23,361.0,39.0
30/01/2020 15:05:15,Interval,14.79,134.83,205.0,1.44,12.22,361.0,32.0
30/01/2020 15:05:16,Interval,15.05,133.73,203.9,1.08,12.22,361.0,36.0
30/01/2020 15:05:17,Interval,14.84,133.57,205.7,1.29,12.22,361.0,44.0
30/01/2020 15:05:18,Interval,14.70,133.57,205.0,1.20,12.22,361.0,40.0
30/01/2020 15:05:19,Interval,14.21,133.59,205.5,1.29,12.21,361.0,41.0
30/01/2020 15:05:20,Interval,13.94,134.03,205.1,1.16,12.21,361.0,39.0
30/01/2020 15:05:21,Interval,13.69,134.54,205.7,1.35,12.21,361.0,36.0
30/01/2020 15:05:22,Interval,13.68,134.42,204.8,1.69,12.21,361.0,27.0
30/01/2020 15:05:23,Interval,14.61,134.67,203.7,1.29,12.21,361.0,37.0
30/01/2020 15:05:24,Interval,15.24,135.83,204.3,2.21,12.21,361.0,42.0
30/01/2020 15:05:25,Interval,16.29,134.40,205.1,1.45,12.21,361.0,43.0
30/01/2020 15:05:26,Interval,16.21,133.68,205.0,1.20,12.21,361.0,45.0
30/01/2020 15:05:27,Interval,15.24,133.48,205.5,1.28,12.21,361.0,43.0
30/01/2020 15:05:28,Interval,14.03,133.82,209.0,1.55,12.21,361.0,38.0
30/01/2020 15:05:29,Interval,13.43,133.11,207.2,1.23,12.20,361.0,38.0
30/01/2020 15:05:30,Interval,13.54,133.62,203.4,0.99,12.20,361.0,48.0
30/01/2020 15:05:31,Interval,13.95,133.76,205.1,1.41,12.20,361.0,46.0
30/01/2020 15:05:32,Interval,15.27,133.93,206.6,1.61,12.20,361.0,44.0
30/01/2020 15:05:33,Interval,15.57,134.79,204.5,1.36,12.20,361.0,49.0
30/01/2020 15:05:34,Interval,14.80,133.65,203.1,0.68,12.20,361.0,41.0
30/01/2020 15:05:35,Interval,15.76,134.38,204.4,0.72,12.20,361.0,43.0
30/01/2020 15:05:36,Interval,13.62,134.91,205.5,1.97,12.20,361.0,29.0
30/01/2020 15:05:37,Interval,14.28,137.64,201.3,1.45,12.20,361.0,47.0
30/01/2020 15:05:38,Interval,15.30,134.93,204.2,1.27,12.20,361.0,41.0
30/01/2020 15:05:39,Interval,15.03,134.38,204.5,1.38,12.20,361.0,35.0
30/01/2020 15:05:40,Interval,14.30,135.81,203.6,1.23,12.20,361.0,30.0
30/01/2020 15:05:41,Interval,15.97,134.73,205.3,1.65,12.20,361.0,42.0
30/01/2020 15:05:42,Interval,16.42,134.74,203.8,1.42,12.20,361.0,40.0
30/01/2020 15:05:43,Interval,16.23,135.06,204.0,1.43,12.21,361.0,44.0
30/01/2020 15:05:44,Interval,15.89,135.30,205.4,1.56,12.21,361.0,45.0
30/01/2020 15:05:45,Interval,16.43,134.49,205.2,1.64,12.21,361.0,47.0
30/01/2020 15:05:46,Interval,16.75,133.85,205.9,1.50,12.21,361.0,52.0
30/01/2020 15:05:47,Interval,15.70,134.44,206.0,1.72,12.22,361.0,46.0
30/01/2020 15:05:48,Interval,16.09,134.51,204.4,1.01,12.23,361.0,45.0
30/01/2020 15:05:49,Interval,15.86,133.99,205.5,1.35,12.23,361.0,46.0
30/01/2020 15:05:50,Interval,15.91,133.94,207.2,1.38,12.23,361.0,42.0
30/01/2020 15:05:51,Interval,16.21,134.10,205.2,1.35,12.23,361.0,44.0
30/01/2020 15:05:52,Interval,16.01,134.52,205.8,1.33,12.22,361.0,46.0
30/01/2020 15:05:53,Interval,15.71,134.27,205.6,0.94,12.22,361.0,48.0
30/01/2020 15:05:54,Interval,15.86,133.24,205.9,1.28,12.21,361.0,48.0
30/01/2020 15:05:55,Interval,15.04,133.83,205.4,1.62,12.21,361.0,50.0
30/01/2020 15:05:56,Interval,15.72,134.34,204.5,0.95,12.21,361.0,45.0
30/01/2020 15:05:57,Interval,16.04,134.15,204.3,0.86,12.21,361.0,42.0
30/01/2020 15:05:58,Interval,15.80,133.20,206.0,1.15,12.21,361.0,43.0
30/01/2020 15:05:59,Interval,14.86,134.00,205.3,1.42,12.21,361.0,41.0
30/01/2020 15:06:00,Interval,14.82,134.21,206.0,1.49,12.21,361.0,43.0
30/01/2020 15:06:01,Interval,15.29,133.96,204.9,0.91,12.21,361.0,33.0
30/01/2020 15:06:02,Interval,14.99,133.71,206.6,1.57,12.20,361.0,38.0
