Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,03/12/2020 14:30:23
Disarm Time,03/12/2020 15:02:15
Duration,00:31:52
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
03/12/2020 14:30:26.080,Interval,17.20,8.06,12.9,0.45,13.03,277.0,270.0
03/12/2020 14:30:27.080,Interval,18.23,7.10,12.3,0.45,13.03,277.0,263.0
03/12/2020 14:30:28.080,Interval,18.64,8.18,14.7,0.54,13.03,277.0,263.0
03/12/2020 14:30:29.080,Interval,18.65,11.24,19.6,0.65,13.04,277.0,262.0
03/12/2020 14:30:30.080,Interval,18.43,13.61,33.1,0.07,13.03,277.0,264.0
03/12/2020 14:30:31.080,Interval,18.74,22.12,46.7,0.06,13.03,277.0,262.0
03/12/2020 14:30:32.080,Interval,18.65,33.05,71.5,0.06,13.03,277.0,259.0
03/12/2020 14:30:33.080,Interval,18.81,47.34,98.9,0.07,13.03,277.0,261.0
03/12/2020 14:30:34.080,Interval,18.89,63.64,103.4,2.74,13.03,277.0,266.0
03/12/2020 14:30:35.080,Interval,19.61,43.52,66.8,1.11,13.03,277.0,266.0
03/12/2020 14:30:36.080,Interval,18.34,36.94,62.9,0.87,13.03,277.0,256.0
03/12/2020 14:30:37.080,Interval,18.18,33.79,60.3,0.75,13.03,277.0,267.0
03/12/2020 14:30:38.080,Interval,17.90,34.69,59.4,0.70,13.03,277.0,271.0
03/12/2020 14:30:39.080,Interval,18.18,33.38,59.8,0.74,13.03,277.0,266.0
03/12/2020 14:30:40.080,Interval,17.81,33.44,58.3,0.62,13.03,277.0,267.0
03/12/2020 14:30:41.080,Interval,18.33,34.30,60.8,0.79,13.03,277.0,268.0
03/12/2020 14:30:42.080,Interval,18.23,32.78,58.2,0.63,13.03,277.0,270.0
03/12/2020 14:30:43.080,Interval,17.82,34.21,59.9,0.69,13.03,277.0,271.0
03/12/2020 14:30:44.080,Interval,18.72,32.43,57.5,0.66,13.03,277.0,270.0
03/12/2020 14:30:45.080,Interval,18.69,33.99,58.8,0.66,13.03,277.0,271.0
03/12/2020 14:30:46.080,Interval,17.92,31.44,46.0,1.39,13.03,277.0,272.0
03/12/2020 14:30:47.080,Interval,17.81,20.86,29.2,0.52,13.03,277.0,272.0
03/12/2020 14:30:48.080,Interval,18.22,19.99,42.7,0.06,13.03,277.0,270.0
03/12/2020 14:30:49.080,Interval,18.06,30.01,56.6,0.53,13.03,277.0,270.0
03/12/2020 14:30:50.080,Interval,18.07,30.80,50.8,0.38,13.03,277.0,272.0
03/12/2020 14:30:51.080,Interval,17.67,32.74,58.5,0.62,13.03,277.0,274.0
03/12/2020 14:30:52.080,Interval,17.22,30.84,56.0,0.54,13.03,277.0,271.0
03/12/2020 14:30:53.080,Interval,17.35,33.18,58.6,0.61,13.03,277.0,269.0
03/12/2020 14:30:54.080,Interval,17.40,31.26,57.1,0.57,13.03,277.0,270.0
03/12/2020 14:30:55.080,Interval,16.75,32.96,57.6,0.54,13.03,277.0,270.0
03/12/2020 14:30:56.080,Interval,16.32,31.65,57.9,0.64,13.03,277.0,269.0
03/12/2020 14:30:57.080,Interval,16.62,32.25,56.6,0.50,13.03,277.0,272.0
03/12/2020 14:30:58.080,Interval,17.07,30.75,54.9,0.50,13.03,277.0,270.0
03/12/2020 14:30:59.080,Interval,16.70,30.94,55.1,0.42,13.03,277.0,276.0
03/12/2020 14:31:00.080,Interval,16.22,31.66,57.8,0.60,13.03,277.0,273.0
03/12/2020 14:31:01.080,Interval,15.92,30.87,55.2,0.44,13.03,277.0,274.0
03/12/2020 14:31:02.080,Interval,16.09,32.56,58.4,0.65,13.03,277.0,275.0
03/12/2020 14:31:03.080,Interval,16.78,29.04,53.4,0.40,13.03,277.0,275.0
03/12/2020 14:31:04.080,Interval,17.01,32.32,57.6,0.58,13.03,277.0,274.0
03/12/2020 14:31:05.080,Interval,16.03,28.74,54.1,0.36,13.03,277.0,272.0
03/12/2020 14:31:06.080,Interval,16.29,31.65,55.4,0.40,13.03,277.0,268.0
03/12/2020 14:31:07.080,Interval,15.82,29.32,54.2,0.36,13.03,277.0,269.0
03/12/2020 14:31:08.080,Interval,15.07,32.05,57.6,0.49,13.03,277.0,263.0
03/12/2020 14:31:09.080,Interval,15.37,30.27,56.0,0.46,13.03,277.0,268.0
03/12/2020 14:31:10.080,Interval,15.11,32.33,57.1,0.47,13.03,277.0,275.0
03/12/2020 14:31:11.080,Interval,14.73,30.51,56.4,0.47,13.03,277.0,270.0
03/12/2020 14:31:12.080,Interval,14.52,31.83,56.4,0.40,13.03,277.0,268.0
03/12/2020 14:31:13.080,Interval,15.00,30.70,57.2,0.50,13.03,277.0,274.0
03/12/2020 14:31:14.080,Interval,14.47,31.33,55.5,0.38,13.03,277.0,273.0
03/12/2020 14:31:15.080,Interval,15.07,31.36,58.6,0.50,13.03,277.0,273.0
03/12/2020 14:31:16.080,Interval,14.44,31.58,56.4,0.36,13.03,277.0,272.0
03/12/2020 14:31:17.080,Interval,14.71,32.63,59.7,0.53,13.03,277.0,273.0
03/12/2020 14:31:18.080,Interval,15.27,31.66,57.3,0.38,13.03,277.0,273.0
03/12/2020 14:31:19.080,Interval,15.35,33.73,60.9,0.58,13.03,277.0,273.0
03/12/2020 14:31:20.080,Interval,15.45,31.74,58.0,0.47,13.03,277.0,278.0
