Logger Details:,,,,,,,,
Logger Type,2F8,,,,,,,
Serial Number,KS1312011,,,,,,,
Controller Firmware,5.3,,,,,,,
Acquisition Firmware,5.1,,,,,,,
Logger ID,Wind Turbine SQ2020,,,,,,,
,,,,,,,,
,,,,,,,,
Job Details,,,,,,,,
Number of Analogue Channels,7,,,,,,,
Number of Digital Channels,0,,,,,,,
Total Number of Channels Used,7,,,,,,,
,,,,,,,,
,,,,,,,,
Arm Time,23/07/2020 14:31:02,,,,,,,
Disarm Time,23/07/2020 14:41:24,,,,,,,
Duration,0:10:22,,,,,,,
Job Description,Wind Turbine Logger,,,,,,,
,,,,,,,,
,,,,,,,,
Channel Info,,,,,,,,
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
Logging Interval,,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
 ,,,,,,,,
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
23/07/2020 14:31:05,Interval,13.62,76.51,135.2,1.25,12.78,264,287
23/07/2020 14:31:06,Interval,12.67,76.65,134.5,1.1,12.78,264,275
23/07/2020 14:31:07,Interval,14.55,76.34,134.8,1.12,12.78,264,278
23/07/2020 14:31:08,Interval,14.09,75.26,134.8,0.9,12.78,264,285
23/07/2020 14:31:09,Interval,13.08,74.66,134.3,0.85,12.78,264,283
23/07/2020 14:31:10,Interval,13.31,75.93,135.6,1.01,12.78,264,284
23/07/2020 14:31:11,Interval,13.79,76.36,135.3,1.03,12.78,265,281
23/07/2020 14:31:12,Interval,14.04,76.38,135,1.1,12.78,264,279
23/07/2020 14:31:13,Interval,13.44,76.27,134.3,1.11,12.78,264,274
23/07/2020 14:31:14,Interval,12.82,75.88,135.6,1.06,12.78,265,273
23/07/2020 14:31:15,Interval,12.61,75.34,134.7,0.91,12.78,265,272
23/07/2020 14:31:16,Interval,11.95,74.58,134.7,0.92,12.78,264,269
23/07/2020 14:31:17,Interval,11.27,75.61,134.7,1.05,12.78,264,277
23/07/2020 14:31:18,Interval,10.69,75.98,134.6,0.89,12.78,264,269
23/07/2020 14:31:19,Interval,11.75,75.29,134.5,0.87,12.78,264,264
23/07/2020 14:31:20,Interval,11.29,74.32,134.5,0.72,12.78,264,266
23/07/2020 14:31:21,Interval,10.31,73.61,134.2,0.63,12.78,264,266
23/07/2020 14:31:22,Interval,9.68,72.39,133.8,0.27,12.78,264,268
23/07/2020 14:31:23,Interval,8.9,72.15,133.4,0.55,12.78,264,267
23/07/2020 14:31:24,Interval,10.25,73.16,134.7,0.79,12.78,264,270
23/07/2020 14:31:25,Interval,11.12,73.65,133.8,0.66,12.78,265,288
23/07/2020 14:31:26,Interval,10.87,73.48,134.1,0.52,12.78,264,280
23/07/2020 14:31:27,Interval,11.17,73.29,134,0.51,12.78,264,277
23/07/2020 14:31:28,Interval,10.63,73.04,134.3,0.56,12.78,264,271
23/07/2020 14:31:29,Interval,10.81,72.86,133.8,0.51,12.78,265,285
23/07/2020 14:31:30,Interval,10.75,71.73,133.5,0.24,12.78,264,289
23/07/2020 14:31:31,Interval,10.32,71.28,133.6,0.21,12.78,264,278
23/07/2020 14:31:32,Interval,9.02,71.12,134.1,0.22,12.78,264,283
23/07/2020 14:31:33,Interval,8.89,71.18,134.1,0.26,12.78,264,275
23/07/2020 14:31:34,Interval,8.63,71.72,134.7,0.39,12.78,264,286
23/07/2020 14:31:35,Interval,9.33,72.36,133.6,0.36,12.78,264,284
23/07/2020 14:31:36,Interval,9.73,71.96,133.8,0.26,12.78,264,282
23/07/2020 14:31:37,Interval,9.8,71.24,135.4,0.29,12.78,264,290
23/07/2020 14:31:38,Interval,9.4,71.4,134.2,0.26,12.78,264,297
23/07/2020 14:31:39,Interval,9.31,72.71,133.4,0.48,12.78,264,278
23/07/2020 14:31:40,Interval,11.8,73.21,134,0.65,12.78,264,288
23/07/2020 14:31:41,Interval,11.95,72.9,134.3,0.47,12.78,264,282
23/07/2020 14:31:42,Interval,12.99,75.1,135,1.01,12.78,265,283
23/07/2020 14:31:43,Interval,12.44,74.88,134.4,0.84,12.78,264,285
23/07/2020 14:31:44,Interval,12.16,74.53,134,0.61,12.78,264,289
23/07/2020 14:31:45,Interval,11.86,73.52,133.3,0.57,12.78,264,298
23/07/2020 14:31:46,Interval,12.91,73.13,134.7,0.73,12.78,264,289
23/07/2020 14:31:47,Interval,12.7,73.86,134.1,0.72,12.78,264,286
23/07/2020 14:31:48,Interval,11.36,73.01,133.2,0.35,12.78,264,290
23/07/2020 14:31:49,Interval,10.06,73.56,135.2,0.77,12.78,264,298
23/07/2020 14:31:50,Interval,12.33,73.6,134.2,0.55,12.78,264,285
23/07/2020 14:31:51,Interval,11.81,73.16,134.3,0.64,12.78,264,289
23/07/2020 14:31:52,Interval,10.95,72.41,134.1,0.45,12.78,264,290
23/07/2020 14:31:53,Interval,10.83,72.54,134.8,0.54,12.78,264,291
23/07/2020 14:31:54,Interval,10.87,72.85,133.1,0.47,12.78,264,281
23/07/2020 14:31:55,Interval,11.29,73.81,134.9,0.78,12.78,264,291
23/07/2020 14:31:56,Interval,12.31,73.69,133.4,0.58,12.78,264,294
23/07/2020 14:31:57,Interval,12.42,73.15,134.4,0.51,12.78,264,292
23/07/2020 14:31:58,Interval,12.39,73.89,134.4,0.66,12.78,264,293
23/07/2020 14:31:59,Interval,12.52,73.8,134.2,0.59,12.78,264,293
23/07/2020 14:32:00,Interval,12.06,73.11,133.9,0.58,12.78,264,286
23/07/2020 14:32:01,Interval,12.16,73.91,134.5,0.65,12.78,264,289
23/07/2020 14:32:02,Interval,12.7,73.95,134.7,0.61,12.78,264,289
23/07/2020 14:32:03,Interval,12.75,73.27,134.2,0.49,12.78,264,294
23/07/2020 14:32:04,Interval,13.01,72.59,133.9,0.67,12.78,264,296
23/07/2020 14:32:05,Interval,12.79,73.82,134.3,0.68,12.78,264,287
23/07/2020 14:32:06,Interval,12.94,73.32,134,0.55,12.78,264,290
23/07/2020 14:32:07,Interval,13.53,72.97,133.7,0.59,12.78,264,292
23/07/2020 14:32:08,Interval,12.97,72.84,133.7,0.52,12.78,264,295
23/07/2020 14:32:09,Interval,12.42,73.01,134.2,0.59,12.78,264,293
23/07/2020 14:32:10,Interval,12.34,73.68,133.8,0.53,12.78,264,290
23/07/2020 14:32:11,Interval,12.07,73.09,134.5,0.55,12.78,264,291
23/07/2020 14:32:12,Interval,12.08,72.75,134,0.54,12.78,264,293
23/07/2020 14:32:13,Interval,12.28,73.01,133.8,0.61,12.78,264,288
23/07/2020 14:32:14,Interval,12.32,74.54,133.8,0.71,12.78,264,290
23/07/2020 14:32:15,Interval,12.46,74.67,134.6,0.67,12.78,264,284
23/07/2020 14:32:16,Interval,12.26,73.95,134.3,0.7,12.78,264,292
23/07/2020 14:32:17,Interval,12.32,73.85,134.2,0.67,12.78,264,292
23/07/2020 14:32:18,Interval,12.23,73.57,134.3,0.67,12.78,264,297
23/07/2020 14:32:19,Interval,13.22,74.43,134.2,0.72,12.78,264,297
23/07/2020 14:32:20,Interval,13.2,73.11,134.7,0.59,12.78,264,302
23/07/2020 14:32:21,Interval,12.87,73.26,134.4,0.68,12.78,265,299
23/07/2020 14:32:22,Interval,13.6,75.19,134.2,0.82,12.78,264,296
23/07/2020 14:32:23,Interval,13.92,74.65,134.6,0.7,12.78,264,289
23/07/2020 14:32:24,Interval,13.71,74.56,135.3,0.78,12.78,264,281
23/07/2020 14:32:25,Interval,13.05,75.26,134.8,0.85,12.78,265,287
23/07/2020 14:32:26,Interval,13.34,74.64,134.4,0.82,12.78,264,297
23/07/2020 14:32:27,Interval,14.28,75.76,134.9,0.96,12.78,264,298
23/07/2020 14:32:28,Interval,15.71,76.31,135.5,1.08,12.78,264,299
23/07/2020 14:32:29,Interval,14.82,75.61,133.9,1.02,12.78,264,288
23/07/2020 14:32:30,Interval,14.87,77.39,135.3,1.34,12.78,264,285
23/07/2020 14:32:31,Interval,15.65,78.1,135.6,1.24,12.78,264,284
23/07/2020 14:32:32,Interval,15.38,76.31,134.7,1.22,12.78,265,288
23/07/2020 14:32:33,Interval,14.88,76.68,134.6,1.14,12.78,264,292
23/07/2020 14:32:34,Interval,15.64,76.44,134.4,1,12.78,264,286
23/07/2020 14:32:35,Interval,15.16,75.89,134.4,0.95,12.78,264,289
23/07/2020 14:32:36,Interval,14.85,75.83,134.5,1.04,12.78,264,289
23/07/2020 14:32:37,Interval,14.7,75.72,134.2,0.94,12.78,265,290
23/07/2020 14:32:38,Interval,13.97,75.04,135.1,0.77,12.78,264,290
23/07/2020 14:32:39,Interval,13.99,74.38,134.1,0.82,12.78,264,291
23/07/2020 14:32:40,Interval,13.57,75.24,134.5,0.97,12.78,265,290
23/07/2020 14:32:41,Interval,12.61,74.63,133.9,0.66,12.78,265,287
23/07/2020 14:32:42,Interval,12.13,74.44,134.8,0.8,12.77,264,286
23/07/2020 14:32:43,Interval,12.47,75.71,134.4,1.06,12.77,264,275
23/07/2020 14:32:44,Interval,13,75.97,134.8,1.12,12.77,264,282
23/07/2020 14:32:45,Interval,13.67,75.74,134.4,0.83,12.78,264,288
23/07/2020 14:32:46,Interval,13.66,75.1,135.2,0.83,12.77,265,288
23/07/2020 14:32:47,Interval,13.22,75.35,134.6,1.07,12.77,264,287
