Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,24/07/2020 15:17:50
Disarm Time,24/07/2020 15:23:19
Duration,00:05:29
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
24/07/2020 15:17:53,Interval,14.53,76.15,134.4,0.94,12.78,270.0,275.0
24/07/2020 15:17:54,Interval,14.21,76.32,135.0,1.03,12.78,270.0,271.0
24/07/2020 15:17:55,Interval,14.70,76.16,135.4,1.20,12.78,270.0,278.0
24/07/2020 15:17:56,Interval,14.73,82.59,167.1,-0.01,12.78,270.0,279.0
24/07/2020 15:17:57,Interval,14.75,112.86,203.0,-0.01,12.78,270.0,276.0
24/07/2020 15:17:58,Interval,14.61,138.40,233.4,-0.02,12.78,270.0,279.0
24/07/2020 15:17:59,Interval,13.67,160.27,225.4,2.01,12.78,270.0,280.0
24/07/2020 15:18:00,Interval,13.46,155.02,228.7,2.17,12.78,270.0,279.0
24/07/2020 15:18:01,Interval,13.28,156.00,229.5,1.87,12.78,270.0,271.0
24/07/2020 15:18:02,Interval,14.66,156.14,229.1,1.83,12.78,270.0,269.0
24/07/2020 15:18:03,Interval,14.46,155.79,225.6,2.44,12.78,270.0,273.0
24/07/2020 15:18:04,Interval,13.87,158.74,226.8,3.65,12.78,270.0,270.0
24/07/2020 15:18:05,Interval,15.31,159.86,223.1,2.84,12.78,270.0,283.0
24/07/2020 15:18:06,Interval,15.92,160.94,222.9,3.74,12.78,270.0,281.0
24/07/2020 15:18:07,Interval,16.81,160.80,225.1,3.30,12.78,270.0,282.0
24/07/2020 15:18:08,Interval,16.74,159.35,226.3,3.62,12.78,270.0,283.0
24/07/2020 15:18:09,Interval,16.28,158.98,224.5,2.37,12.78,270.0,272.0
24/07/2020 15:18:10,Interval,15.45,157.28,229.6,1.27,12.78,270.0,280.0
24/07/2020 15:18:11,Interval,14.63,155.48,228.5,1.64,12.78,270.0,279.0
24/07/2020 15:18:12,Interval,14.20,157.91,228.8,2.50,12.78,270.0,269.0
24/07/2020 15:18:13,Interval,16.20,156.60,228.3,2.91,12.78,270.0,278.0
24/07/2020 15:18:14,Interval,15.56,157.84,224.3,2.68,12.78,270.0,272.0
24/07/2020 15:18:15,Interval,15.17,156.83,228.8,3.08,12.78,270.0,274.0
24/07/2020 15:18:16,Interval,15.91,160.61,223.0,3.60,12.78,270.0,276.0
24/07/2020 15:18:17,Interval,14.49,158.22,225.0,2.19,12.78,270.0,253.0
24/07/2020 15:18:18,Interval,14.76,158.03,225.1,3.21,12.78,270.0,273.0
24/07/2020 15:18:19,Interval,15.57,159.50,226.8,2.62,12.78,270.0,263.0
24/07/2020 15:18:20,Interval,15.24,157.72,222.5,2.60,12.78,270.0,272.0
24/07/2020 15:18:21,Interval,14.73,157.27,225.0,2.03,12.78,270.0,264.0
24/07/2020 15:18:22,Interval,14.63,157.59,224.3,2.83,12.78,270.0,268.0
24/07/2020 15:18:23,Interval,15.22,159.25,224.9,3.05,12.78,270.0,264.0
24/07/2020 15:18:24,Interval,15.21,158.52,225.6,2.25,12.78,270.0,272.0
24/07/2020 15:18:25,Interval,15.89,157.62,224.4,2.81,12.78,270.0,268.0
24/07/2020 15:18:26,Interval,15.47,160.15,225.0,3.15,12.78,270.0,275.0
24/07/2020 15:18:27,Interval,15.72,159.36,222.7,2.65,12.78,270.0,279.0
24/07/2020 15:18:28,Interval,14.76,156.41,227.2,2.27,12.78,270.0,260.0
24/07/2020 15:18:29,Interval,16.47,158.39,227.6,3.07,12.78,270.0,267.0
24/07/2020 15:18:30,Interval,16.47,158.99,224.5,3.19,12.78,270.0,275.0
24/07/2020 15:18:31,Interval,16.94,161.17,226.4,3.20,12.78,270.0,266.0
24/07/2020 15:18:32,Interval,18.83,163.12,222.5,5.17,12.78,270.0,286.0
24/07/2020 15:18:33,Interval,17.70,161.93,219.1,2.30,12.78,270.0,276.0
24/07/2020 15:18:34,Interval,16.55,159.72,224.5,2.94,12.78,270.0,279.0
24/07/2020 15:18:35,Interval,16.26,158.35,227.3,2.95,12.78,270.0,281.0
24/07/2020 15:18:36,Interval,15.80,159.19,225.5,3.51,12.78,270.0,279.0
24/07/2020 15:18:37,Interval,15.78,158.01,226.9,3.34,12.78,270.0,268.0
24/07/2020 15:18:38,Interval,14.92,157.21,228.0,2.27,12.78,270.0,280.0
24/07/2020 15:18:39,Interval,13.75,157.13,229.6,3.06,12.78,270.0,283.0
24/07/2020 15:18:40,Interval,14.61,156.44,228.2,1.80,12.78,270.0,293.0
24/07/2020 15:18:41,Interval,15.35,157.60,224.6,2.30,12.78,270.0,285.0
24/07/2020 15:18:42,Interval,15.62,155.85,228.3,2.09,12.78,270.0,281.0
24/07/2020 15:18:43,Interval,14.17,155.98,227.4,1.31,12.77,270.0,282.0
24/07/2020 15:18:44,Interval,13.84,155.10,225.3,1.16,12.77,270.0,282.0
24/07/2020 15:18:45,Interval,13.91,154.50,228.6,0.75,12.77,270.0,281.0
24/07/2020 15:18:46,Interval,13.19,153.48,231.1,1.25,12.78,270.0,288.0
24/07/2020 15:18:47,Interval,12.48,152.40,230.6,0.65,12.77,270.0,282.0
24/07/2020 15:18:48,Interval,11.96,153.10,229.7,0.64,12.78,270.0,278.0
24/07/2020 15:18:49,Interval,12.69,154.03,233.2,1.99,12.77,270.0,279.0
