Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,24/07/2020 14:47:42
Disarm Time,24/07/2020 15:08:35
Duration,00:20:53
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
24/07/2020 14:47:44,Interval,11.63,23.32,43.2,0.21,12.79,270.0,267.0
24/07/2020 14:47:45,Interval,11.82,24.67,45.1,0.29,12.79,270.0,258.0
24/07/2020 14:47:46,Interval,12.64,24.03,43.5,0.19,12.79,270.0,257.0
24/07/2020 14:47:47,Interval,14.71,23.95,44.7,0.26,12.79,270.0,273.0
24/07/2020 14:47:48,Interval,15.06,24.96,45.1,0.27,12.79,270.0,270.0
24/07/2020 14:47:49,Interval,13.65,24.62,45.3,0.27,12.78,270.0,273.0
24/07/2020 14:47:50,Interval,13.22,25.28,45.7,0.29,12.79,270.0,276.0
24/07/2020 14:47:51,Interval,13.05,24.75,45.1,0.29,12.78,270.0,272.0
24/07/2020 14:47:52,Interval,12.38,25.42,46.0,0.30,12.79,270.0,268.0
24/07/2020 14:47:53,Interval,11.65,24.34,44.2,0.22,12.78,270.0,263.0
24/07/2020 14:47:54,Interval,11.74,24.12,44.3,0.25,12.78,270.0,266.0
24/07/2020 14:47:55,Interval,11.23,23.64,43.3,0.17,12.78,270.0,264.0
24/07/2020 14:47:56,Interval,11.22,23.05,42.9,0.17,12.78,270.0,265.0
24/07/2020 14:47:57,Interval,11.39,24.02,44.0,0.20,12.78,270.0,266.0
24/07/2020 14:47:58,Interval,11.43,23.27,42.9,0.17,12.78,270.0,271.0
24/07/2020 14:47:59,Interval,12.41,24.66,45.6,0.30,12.78,270.0,284.0
24/07/2020 14:48:00,Interval,12.92,26.02,46.4,0.34,12.78,270.0,273.0
24/07/2020 14:48:01,Interval,14.49,26.13,47.5,0.39,12.78,270.0,269.0
24/07/2020 14:48:02,Interval,15.85,26.59,47.4,0.37,12.78,270.0,280.0
24/07/2020 14:48:03,Interval,15.48,26.70,48.1,0.42,12.78,270.0,283.0
24/07/2020 14:48:04,Interval,16.84,27.46,48.8,0.44,12.78,270.0,286.0
24/07/2020 14:48:05,Interval,16.29,26.37,47.3,0.38,12.78,270.0,285.0
24/07/2020 14:48:06,Interval,15.12,26.68,47.4,0.38,12.78,270.0,288.0
24/07/2020 14:48:07,Interval,15.05,25.34,45.9,0.28,12.78,270.0,286.0
24/07/2020 14:48:08,Interval,13.88,25.61,46.3,0.35,12.78,270.0,283.0
24/07/2020 14:48:09,Interval,13.65,24.87,44.9,0.26,12.78,270.0,283.0
24/07/2020 14:48:10,Interval,13.64,24.85,45.6,0.31,12.78,270.0,283.0
24/07/2020 14:48:11,Interval,13.92,25.33,45.9,0.29,12.78,270.0,280.0
24/07/2020 14:48:12,Interval,13.60,24.56,45.2,0.29,12.78,270.0,280.0
24/07/2020 14:48:13,Interval,13.71,25.55,46.3,0.32,12.78,270.0,277.0
24/07/2020 14:48:14,Interval,14.09,25.13,45.9,0.32,12.78,270.0,265.0
24/07/2020 14:48:15,Interval,15.83,27.01,48.6,0.42,12.78,270.0,269.0
24/07/2020 14:48:16,Interval,15.33,26.85,48.2,0.42,12.78,270.0,279.0
24/07/2020 14:48:17,Interval,15.91,27.09,48.1,0.41,12.78,270.0,274.0
24/07/2020 14:48:18,Interval,15.04,26.20,47.0,0.35,12.78,270.0,280.0
24/07/2020 14:48:19,Interval,14.16,25.55,46.6,0.33,12.78,270.0,283.0
24/07/2020 14:48:20,Interval,14.52,25.47,46.0,0.29,12.78,270.0,282.0
24/07/2020 14:48:21,Interval,14.15,25.33,46.3,0.31,12.78,270.0,276.0
24/07/2020 14:48:22,Interval,14.05,25.96,46.7,0.35,12.78,270.0,275.0
24/07/2020 14:48:23,Interval,14.95,25.92,46.9,0.37,12.78,270.0,272.0
24/07/2020 14:48:24,Interval,15.34,27.18,48.4,0.42,12.78,270.0,275.0
24/07/2020 14:48:25,Interval,15.41,26.20,46.8,0.35,12.78,270.0,273.0
24/07/2020 14:48:26,Interval,14.16,26.41,47.4,0.39,12.78,270.0,272.0
24/07/2020 14:48:27,Interval,13.43,25.34,45.2,0.25,12.78,270.0,278.0
24/07/2020 14:48:28,Interval,14.26,24.92,45.7,0.30,12.78,270.0,272.0
24/07/2020 14:48:29,Interval,14.00,24.71,44.6,0.21,12.78,270.0,279.0
24/07/2020 14:48:30,Interval,12.97,24.28,45.0,0.25,12.78,270.0,276.0
24/07/2020 14:48:31,Interval,13.48,25.38,46.1,0.30,12.78,270.0,275.0
24/07/2020 14:48:32,Interval,13.32,24.92,45.3,0.30,12.78,270.0,277.0
24/07/2020 14:48:33,Interval,13.21,25.54,46.6,0.32,12.78,270.0,271.0
24/07/2020 14:48:34,Interval,13.05,24.90,44.8,0.23,12.78,270.0,269.0
24/07/2020 14:48:35,Interval,12.88,24.39,45.1,0.27,12.78,270.0,269.0
24/07/2020 14:48:36,Interval,12.90,24.78,44.9,0.26,12.78,270.0,267.0
24/07/2020 14:48:37,Interval,13.41,24.60,45.3,0.30,12.78,270.0,276.0
24/07/2020 14:48:38,Interval,14.03,25.39,45.9,0.27,12.78,270.0,270.0
24/07/2020 14:48:39,Interval,13.43,24.56,44.5,0.26,12.78,270.0,271.0
24/07/2020 14:48:40,Interval,13.37,25.46,46.4,0.35,12.78,270.0,272.0
